(电磁场, Electromagnetic field)
(回旋加速器, Cyclotron)
(螺旋运动, Spiral motion)
(电场力, Electric field force)
(磁场, Magnetic Field)
(磁瓶, Magnetic Bottle)
(运动电荷, Moving charge)
(范爱伦辐射带, Van Allen radiation belts)
(磁聚焦, Magnetic focusing)
(宇宙射线, Cosmic rays)
(频率, Frequency)
(粒子的轨道半径, Particle's orbit radius)
(旋转周期, Rotation Period)
(带电粒子, Charged particle)
(运动方程, Equation of motion)
(带电粒子, Charged particles)
(回转半径, Radius of Rotation)
(同步回旋加速器, Synchrotron Accelerator)
(气泡室, Bubble chamber)
(粒子的能量, Particle's energy)
(牛顿第二定律, Newton's second law)
(赵忠尧的发现, Zhao Zhongyao's discovery)
(载流导线, Current-carrying wire)
(粒子的半径, Particle's radius)
(等离子态, Plasma State)
(天然磁瓶, Natural magnetic bottle)
(磁约束现象, Magnetic confinement phenomenon)
(髙空核爆炸实验, High-altitude nuclear explosion experiments)
(匀强磁场, Uniform magnetic field)
(磁聚焦原理, Magnetic Focusing Principle)
(地球磁场, Earth's magnetic field)
(闭合环行结构, Closed Loop Structure)
(分量, Component)
(粒子的速率, Particle's velocity)
(托卡马克, Tokamak)
(核物理实验, Nuclear physics experiment)
(真空室, Vacuum Chamber)
(仿星器, Stellarator)
(内层, Inner layer)
(质谱仪, Mass spectrometer)
(洛伦兹力公式, Lorentz force formula)
(磁感应强度, Magnetic induction)
(磁约束效应, Magnetic Confinement Effect)
(受控热核反应, Controlled Thermonuclear Reaction)
(磁场, Magnetic field)
(磁镜效应, Magnetic Mirror Effect)
(人工辐射带, Artificial radiation belts)
(正电子, Positron)
(粒子的速度, Particle's velocity)
(平行, Parallel)
(带电粒子, Charged Particle)
(地轴对称, Axial symmetry)
(速度, Velocity)
(磁感应强度, Magnetic Induction)
(螺距, Pitch)
(质量, Mass)
(电流元, Current element)
(电荷, Charge)
(粒子的周期, Particle's period)
(高频电场, High-frequency Electric Field)
(洛伦兹力, Lorentz Force)
(外层, Outer layer)
(速度选择器, Velocity selector)
(洛伦兹力, Lorentz force)
(安培力, Ampere force)
(夹角, Angle)
(运动速度, Velocity)
(狭义相对论, Special Theory of Relativity)
(圆周运动, Circular motion)
(粒子加速器, Particle accelerator)
(加速带电粒子的回旋加速器, Cyclotron for accelerating charged particles)
(磁场中的粒子偏转方向, Particle deflection direction in a magnetic field)
(垂直, Perpendicular)
(带电粒子的荷质比, Charge-to-mass ratio of charged particles)
