(M, M)
(小球在水平面上的运动, Motion of a ball on a horizontal plane)
(rdm, rdm)
(质心, Center of Mass)
(功, Work)
(牛顿运动定律, Newton's Laws of Motion)
(牛顿第二定律, Newton's Second Law)
(角速度, Angular velocity)
(能量, Energy)
(角动量守恒定律, Law of Conservation of Angular Momentum)
(动量守恒定律, Law of Conservation of Momentum)
(牛顿第二定律, Newton's second law)
(动能定理, Kinetic Energy Theorem)
(c, c)
(质点的角动量守恒定律, Conservation of angular momentum of a particle)
(di, di)
(L, L)
(力心, Center of force)
(有心力, Central Force)
(能量守恒定律, Law of Conservation of Energy)
(F, F)
(力, Force)
(地球卫星运动, Motion of Earth satellite)
(角动量定理, Angular Momentum Theorem)
(dL, dL)
(m, m)
(角动量定理, Angular momentum theorem)
(角动量定理式, Angular momentum theorem)
(动能定理, Kinetic energy theorem)
(保守力, Conservative Force)
(势能, Potential Energy)
(角动量守恒定律, Law of conservation of angular momentum)
(合力对固定点的力矩为零, The torque of the resultant force on a particle about a fixed point is zero)
(常矢量, Constant vector)
(拉力所作的功, Work done by tension)
(有心力下的运动, Motion under central force)
(动量定理, Momentum Theorem)
(r, r)
(有心力, Central force)
(129, 129)
(质点对固定点的角动量, Angular momentum of a particle about a fixed point)
(机械能守恒定律, Law of Conservation of Mechanical Energy)
(a, a)
(势能零点, Zero Potential Energy)
(角动量, Angular Momentum)
(^Lms, ^Lms)
(力矩为零的两种可能, Two possible cases when the torque is zero)
(质点角动量, Particle Angular Momentum)
