(:wi, :wi)
(原子核反冲, Nuclear recoil)
(天文, Astronomy)
(引力势能, gravitational potential energy)
(共振吸收, Resonant absorption)
(3/2+1/2, 3/2+1/2)
(发光星球, luminous planet)
(光子能量, photon energy)
(物理, Physics)
(+1/2, +1/2)
(-10, -10)
(-2, -2)
(发射吸收, Emission and absorption)
(环保, Environmental protection)
(电四极分裂, electric quadrupole splitting)
(共振吸收现象, Resonance absorption phenomenon)
(穆斯堡尔效应, Mössbauer effect)
(地质, Geology)
(能量的相对变化, Relative change in energy)
(塞曼效应, Zeeman effect)
(射线能量分辨率, Energy resolution of radiation)
(-4, -4)
(图17.7, 图17.7)
(II, II)
(it, it)
(能量守恒定律, Law of conservation of energy)
(发射与吸收光子的能量, Energy of emitted and absorbed photons)
(考古, Archaeology)
(古物鉴定, Antique identification)
(核反冲造成的能量损失, Energy loss caused by nuclear recoil)
(核激发态的能级宽度, Width of nuclear excited state energy level)
(57Fe, 57Fe)
(反冲能量, Recoil energy)
(化学, Chemistry)
(冶金, Metallurgy)
(超精细结构, hyperfine structure)
(生物, Biology)
(3/2, 3/2)
(⑷, ⑷)
(能童改变?罟/GO^eV}(b), 能童改变?罟/GO^eV}(b))
(50504433, 50504433)
(1/2, 1/2)
(4, 4)
(穆斯堡尔吸收谱线, Mössbauer absorption spectrum)
(正如我们前面所述,由于穆斯堡尔效应不仅具有极髙的精度,而且在实验设备方面相对较简单,因此这项技术发展非常迅速,应用十分广泛,20世纪70年代以来在我国也得到了迅速发展,在基础研究和应用研究方面都取得了显著成果.希望对穆斯堡尔效应作进一步学习的读者可参阅有关文献., As we mentioned earlier, the Mössbauer effect has not only high precision, but also relatively simple experimental equipment. Therefore, this technology has developed rapidly and has been widely used. Since the 1970s, it has also developed rapidly in China and has achieved significant results in both basic research and applied research. Readers who want to further study the Mössbauer effect can refer to relevant literature.)
(vvY, vvY)
(1111I1tr11, 1111I1tr11)
(科学界, Scientific community)
(医学, Medicine)
(多普勒公式, Doppler formula)
(共振吸收峰值, Resonant absorption peak)
(1i1iii\i_ii, 1i1iii\i_ii)
(能量分辨率, Energy resolution)
(海森伯不确定关系, Heisenberg's uncertainty principle)
(-6, -6)
(穆斯堡尔实验装置, Mössbauer experimental setup)
(磁超精细分裂, magnetic hyperfine splitting)
(0, 0)
(工业, Industry)
(2, 2)
(引力红移, gravitational redshift)
(-8, -8)
(精度, Precision)
