(波函数, Wave function)
(驻波, Standing wave)
(弹性介质, Elastic medium)
(光频蓝移, Blueshift of light frequency)
(波源, Wave source)
(机械波, Mechanical wave)
(振动状态, Vibration state)
(频率, Frequency)
(电磁波, Electromagnetic waves)
(波源运动, Source motion)
(运动相对性, Relativity of motion)
(波长, Wavelength)
(光谱线, Spectral lines)
(波速, Wave speed)
(观察者运动, Observer motion)
(多普勒效应, Doppler effect)
(真空, Vacuum)
(横向多普勒效应, Transverse Doppler effect)
(相对论效应, Relativistic effect)
(相对运动, Relative motion)
(光源固有频率, Intrinsic frequency of the light source)
(观察者, Observer)
(波的干涉, Wave interference)
(星体, Celestial body)
(平均能量密度, Average energy density)
(退行速度, Recession velocity)
(介质, Medium)
(机械波的多普勒效应, Doppler effect of mechanical waves)
(光的多普勒效应, Doppler effect of light)
(波的强度, Wave intensity)
(光波, Light waves)
(光频红移, Redshift of light frequency)
(惠更斯原理, Huygens' principle)
(周期, Period)
(纵向多普勒效应, Longitudinal Doppler effect)
