(发电机组, Generator set)
(热源, heat source)
(致冷循环, refrigeration cycle)
(功, Work)
(外界, External environment)
(理想气体, ideal gas)
(低温热源, low-temperature heat source)
(高温热源温度, High-temperature heat source temperature)
(装机容量, Installed capacity)
(物质比热, Specific heat of substance)
(绝热线, Adiabatic line)
(理想气体, Ideal gas)
(放出的热量, Released heat)
(绝热过程, adiabatic process)
(工质, Working substance)
(致冷系数, coefficient of performance)
(等压过程, Isobaric process)
(热机, heat engine)
(核锅炉, Nuclear boiler)
(等温线, Isothermal line)
(高温热源, High-temperature heat source)
(等温膨胀过程, Isothermal expansion process)
(温度, Temperature)
(比热, Specific heat)
(效率, Efficiency)
(卡诺循环, Carnot cycle)
(排水温度, Discharge water temperature)
(卡诺循环致冷系数, Carnot refrigeration coefficient)
(核电站, Nuclear power plant)
(低温热源温度, Low-temperature heat source temperature)
(能量转换关系, Energy conversion relationship)
(循环效率, Cycle efficiency)
(等温过程, isothermal process)
(高温热源, high-temperature heat source)
(致冷机, Refrigeration machine)
(循环过程, cycle process)
(低温热源, Low-temperature heat source)
(净功, Net work)
(自由度数, Degrees of freedom)
(海水质量, Mass of seawater)
(吸收的热量, Absorbed heat)
(等压压缩过程, Isobaric compression process)
(冷却冷凝器, Cooling condenser)
(效率, efficiency)
(海水, Seawater)
(热机循环过程, Thermal cycle process)
(等温过程, Isothermal process)
(摩尔热容, Molar heat capacity)
(双原子分子, Diatomic molecule)
(等体过程, Isochoric process)
