(横波, Transverse wave)
(手册, Manual)
(线密度, Linear density)
(应力, Stress)
(dxlim, dxlim)
(水平向的夹角, Angle in the horizontal direction)
(绳长, Length of the rope)
(鱼雷, Torpedo)
(密度, Density)
(d2r^md2ydx2FQt2, d2r^md2ydx2FQt2)
(频率, Frequency)
(气体, Gas)
(tan, tan)
(作用在线元上沿y向的合力心, Center of the resultant force acting on the line element in the y direction)
(微元, Element)
(液体, Liquid)
(曲率圆心, Center of curvature)
(介质惯性性质, Inertial properties of the medium)
(波速, Wave speed)
(Fy=F, Fy=F)
(理想气体, Ideal gas)
(牛顿第二定律, Newton's second law)
(表13.1, Table 13.1)
(Fy, Fy)
(摩尔气体常数, Molar gas constant)
(雷达系统, Radar system)
(比热容比, Specific heat ratio)
(dy, dy)
(力学性质, Mechanical properties)
(提高波源的频率, Increasing the frequency of the wave source)
(张紧, Tension)
(均匀细棒, Uniform thin rod)
(分辨率, Resolution)
(温度, Temperature)
(导数定义, Definition of derivative)
(波速公式, Wave speed formula)
(实验, Experiment)
(杨氏模量, Young's modulus)
(压强, Pressure)
(弦, String)
(图13.17, Figure 13.17)
(体积模量, Bulk modulus)
(切变模量, Shear modulus)
(固体, Solid)
(张力, Tension)
(轻绳, Light rope)
(Ax, Ax)
(质量, Mass)
(摩尔质量, Molar mass)
(介质, Medium)
(sin, sin)
(超声成像系统, Ultrasound imaging system)
(介质弹性性质, Elastic properties of the medium)
(波动微分方程, Wave differential equation)
(X射线诊断, X-ray diagnosis)
(声波, Sound wave)
(空气, Air)
(纵波, Longitudinal wave)
(声速, Speed of sound)
(应变, Strain)
(声纳, Sonar)
(绳, Rope)
(C02气体, CO2 gas)
(波长, Wavelength)
(流体, Fluid)
(dx, dx)
