(电荷守恒定律, Conservation of charge)
(色相互作用, Color interaction)
(粒子的分类, Classification of particles)
(同位旋量子数, Isospin quantum number)
(夸克模型, Quark model)
(能量, Energy)
(色量子数, Color charge)
(质子, Proton)
(重子的夸克组成, Quark composition of baryons)
(克, Quark)
(引力相互作用, Gravitational interaction)
(共振态粒子, Resonance particles)
(粒子的基本属性, Basic properties of particles)
(动量守恒, Conservation of momentum)
(夸克模型, Quark Model)
(光子, Photon)
(重子数和重子数守恒定律, Baryon number and conservation law of baryon number)
(电磁相互作用, Electromagnetic interaction)
(原子核的基本性质, Basic Properties of Atomic Nucleus)
(核裂变, Nuclear fission)
(亮度, Luminosity)
(奇夸克, Strange quark)
(电荷, Charge)
(原子核磁矩, Nuclear magnetic moment)
(吴健雄, Tsung-Dao Lee)
(强相互作用, Strong interaction)
(镜面反演对称性, Mirror inversion symmetry)
(K+介子, K+ meson)
(夸克, Quark)
(强子的多重态, Multiplet of hadrons)
(弱相互作用, Weak interaction)
(e-T疑难, e-T puzzle)
(角动量守恒, Conservation of angular momentum)
(磁矩, Magnetic Moment)
(电弱统一理论, Electroweak Unification Theory)
(同位旋守恒, Isospin conservation)
(质量数, Mass Number)
(强相互作用, Strong Interaction)
(中间玻色子, Intermediate boson)
(弱相互作用, Weak Interaction)
(粲夸克, Charm quark)
(核力, Nuclear force)
(宇称守恒定律, Parity conservation law)
(坐标的镜面反演, Mirror inversion of coordinates)
(核聚变, Nuclear fusion)
(t, Topness)
(分量, Component)
(能量守恒, Conservation of energy)
(e, Elementary charge)
(粒子的状态, Particle state)
(欧姆定律, Ohm's law)
(费米子, Fermion)
(b, Bottomness)
(W+, W+)
(J, Isospin)
(宇称, Parity)
(动量, Momentum)
(轻子数, Lepton Number)
(S, Strangeness)
(反演对称性, Inversion symmetry)
(杨振宁, Yang Zhenning)
(B, Baryon number)
(反粒子, Antiparticles)
(GeV, Giga-electronvolt)
(穆斯堡尔效应, Mössbauer effect)
(坐标的空间反演, Spatial inversion of coordinates)
(重子, Baryon)
(大统一理论, Grand Unified Theory)
(顶夸克, Top quark)
(同位旋, Isospin)
(诺贝尔物理学奖, Nobel Prize in Physics)
(Z°, Z°)
(升级改造工程, Upgrade Project)
(核磁共振, Nuclear magnetic resonance)
(轻子数和轻子数守恒定律, Lepton number and conservation law of lepton number)
(内禀宇称, Intrinsic parity)
(粲夸克和t子物理, Charm Quark and Top Quark Physics)
(原子核的结合能, Nuclear binding energy)
(角动量, Angular Momentum)
(e轻子数, e Lepton Number)
(反奇夸克, Antistrange quark)
(t子质量的精确测量, Precise Measurement of Top Quark Mass)
(波函数, Wave function)
(守恒定律和相互作用, Conservation laws and interactions)
(守恒定律, Conservation Law)
(底夸克, Bottom quark)
(l, Lepton number)
(反重子, Antibaryon)
(Y, Hypercharge)
(同位旋分量, Isospin component)
(北京正负电子对撞机, Beijing Electron-Positron Collider)
(奇异粒子, Strange particle)
(C, Charmness)
(奇异数, Strangeness)
(空间反演操作, Spatial inversion operation)
(Q, Electric charge)
(渐进自由理论, Asymptotic Freedom Theory)
(重子数, Baryon Number)
(物理规律, Physical laws)
(半径, Radius)
(引力子, Graviton)
(相互作用, Interaction)
(粒子物理问题, Particle Physics Problems)
(玻色子, Boson)
(UBS, UBS)
(电磁相互作用, Electromagnetic Interaction)
(W-, W-)
(奇异数和奇异数守恒定律, Strangeness and conservation law of strangeness)
(介子, Meson)
(守恒定律, Conservation law)
