(滑块, Block): 28
(摩擦力, Frictional force): 80
(线量, Linear quantity): 15
(转动惯量, Moment of inertia): 98
(质心, Center of mass): 113
(摩擦力矩, Frictional torque): 5
(转动运动方程, Equations of rotational motion): 3
(钟摆, Pendulum): 5
(冲击力, Impulse force): 5
(角速度, Angular velocity): 156
(角量, Angular quantity): 35
(重力力矩, Gravitational torque): 1
(刚体系统的总转动惯量, Total rotational inertia of a rigid body system): 1
(转动方向, Direction of rotation): 4
(平动, Translation): 90
(刚体动力学, Rigid body dynamics): 3
(质量面密度, Mass surface density): 2
(角加速度, Angular acceleration): 77
(合外力矩, Net external torque): 19
(滑轮, Pulley): 45
(牛顿定律, Newton's laws of motion): 21
(张力, Tension): 37
(约束力, Constraint force): 4
(力矩, Torque): 223
(均质圆盘, Homogeneous disk): 8
(刚体定轴转动定律, Law of rotational motion of a rigid body about a fixed axis): 6
(重物, Mass): 19
(刚体力学, Rigid body mechanics): 8
(击球点, Point of impact): 1
(加速度, Acceleration): 397
(打击中心, Center of percussion): 4
(逆时针方向, Counterclockwise direction): 13
(定轴转动定律, Law of rotational motion about a fixed axis): 20
(质点力学, Particle mechanics): 5
