(地下金属管线, Underground metal pipelines)
(高电阻率材料, High resistivity materials)
(铁芯, Iron core)
(自感, Self-inductance)
(互感, Mutual inductance)
(电磁勘探, Electromagnetic exploration)
(电子感应加速器, Electron induction accelerator)
(磁感应强度, Magnetic induction)
(涡流的利弊, Advantages and disadvantages of eddy currents)
(涡流的热效应, Thermal effect of eddy currents)
(车速表, Speedometer)
(匀强磁场, Uniform magnetic field)
(电磁阻尼, Electromagnetic damping)
(涡流的产生, Generation of eddy currents)
(同心圆形路径, Concentric circular paths)
(电缆, Cable)
(涡电流, Eddy current)
