(光谱分析, Spectral analysis)
(辐射功率, Radiation power)
(化学发光, Chemiluminescence)
(生物学, Biology)
(脉冲宽度, Pulse width)
(精细机械技术, Precision mechanical technology)
(激光器, Laser)
(相干性, Coherence)
(高能态, High energy state)
(频率, Frequency)
(材料, Materials)
(光波列, Optical wave train)
(热辐射, Thermal radiation)
(发光, Emission of light)
(激光, Laser)
(自发辐射, Spontaneous emission)
(药学, Pharmacy)
(干涉现象, Interference phenomenon)
(红宝石激光器, Ruby laser)
(稳定性, Stability)
(连续谱光源, Continuous spectrum light source)
(单色仪, Monochromator)
(低能态, Low energy state)
(电致发光, Electroluminescence)
(化学, Chemistry)
(单色性, Monochromaticity)
(同步辐射光, Synchrotron radiation)
(荧光, Fluorescence)
(软X射线, Soft X-ray)
(磷光, Phosphorescence)
(线谱光源, Line spectrum light source)
(生物发光, Bioluminescence)
(方向性, Directionality)
(物理学, Physics)
(谱线宽度, Spectral line width)
(合肥, Hefei)
(光源, Light source)
(医学, Medicine)
(微电子, Microelectronics)
(偏振性, Polarization)
(普通光源, Ordinary light source)
(光谱线, Spectral line)
(同步加速器, Synchrotron accelerator)
(微量元素分析, Trace element analysis)
(光谱, Spectrum)
(红外, Infrared)
(能量状态, Energy state)
(光致发光, Photoluminescence)
(北京正负电子对撞机, Beijing Synchrotron Radiation Facility (BSRF))
(脉冲化, Pulsed)
(辐射光, Radiation light)
(受激辐射的光放大, Stimulated emission of light amplification)
(复色光, Polychromatic light)
