(进动效应, Precession effect)
(线量和角量的关系, Relationship between linear and angular quantities)
(摩擦力, Frictional force)
(切向加速度, Tangential acceleration)
(厚度, Thickness)
(转动惯量, Moment of inertia)
(炮弹飞行姿态的控制, Control of projectile flight attitude)
(轮圈半径, Wheel radius)
(圆盘绕轴转动, rotation of the disc around the axis)
(密度, Density)
(原来的转动动能, original rotational kinetic energy)
(子弹留在盘内, bullets remain in the disc)
(内力矩, Internal torque)
(减小, decrease)
(转动动能与原来的转动动能之比, ratio of rotational kinetic energy to the original rotational kinetic energy)
(角速度, Angular velocity)
(匀速定轴转动, Uniform rotational motion about a fixed axis)
(位移, Displacement)
(法向加速度, Normal acceleration)
(射来两颗质量相同的子弹, two bullets of the same mass)
(转动定律, Rotational law)
(刚体绕定轴转动的动能定理, Kinetic energy theorem for rotational motion about a fixed axis)
(勾变速定轴转动, Variable rotational motion about a fixed axis)
(刚体进动的角速度公式, Formula for the angular velocity of precession of a rigid body)
(平板, Plate)
(矢径, Radius vector)
(轴承, Bearing)
(速度大小相同, same magnitude of velocity)
(圆盘的角速度, angular velocity of the disc)
(刚体转动的功和能, Work and energy of rotational motion)
(机械能守恒定律, Law of conservation of mechanical energy)
(微观领域, Microscopic field)
(力, Force)
(系统的转动动能, rotational kinetic energy of the system)
(合外力对某定轴的力矩, Torque of the resultant external force about a fixed axis)
(转台, Turntable)
(辐条, Spoke)
(角动量, Angular momentum)
(沿同一直线运动, moving along the same straight line)
(螺旋线, Spiral line)
(动压力, Dynamic pressure)
(角加速度, Angular acceleration)
(进动的机械模型, Mechanical model of precession)
(平行轴定理, Parallel axis theorem)
(刚体转动动能, Rotational kinetic energy)
(刚体的重力势能, Gravitational potential energy of a rigid body)
(角动量守恒定律, Law of conservation of angular momentum)
(增大, increase)
(不变, unchanged)
(无法判断, cannot be determined)
(速度, Velocity)
(原子光谱线, Atomic spectral lines)
(质量, Mass)
(轮缘, Wheel rim)
(力矩, Torque)
(进动特性, Precession)
(自转作用, Self-rotation effect)
(动量, Momentum)
(力矩的功, Work done by torque)
(刚体的角动量定理, Angular momentum theorem for rigid bodies)
(空气阻力, Air resistance)
(方向相反, opposite direction)
