(电磁场, Electromagnetic field): 51
(回旋加速器, Cyclotron): 5
(螺旋运动, Spiral motion): 2
(电场力, Electric field force): 36
(磁场, Magnetic Field): 738
(磁瓶, Magnetic Bottle): 4
(运动电荷, Moving charge): 34
(范爱伦辐射带, Van Allen radiation belts): 2
(磁聚焦, Magnetic focusing): 1
(宇宙射线, Cosmic rays): 4
(频率, Frequency): 461
(粒子的轨道半径, Particle's orbit radius): 2
(旋转周期, Rotation Period): 3
(带电粒子, Charged particle): 59
(运动方程, Equation of motion): 101
(带电粒子, Charged particles): 59
(回转半径, Radius of Rotation): 3
(同步回旋加速器, Synchrotron Accelerator): 1
(气泡室, Bubble chamber): 4
(粒子的能量, Particle's energy): 8
(牛顿第二定律, Newton's second law): 37
(赵忠尧的发现, Zhao Zhongyao's discovery): 0
(载流导线, Current-carrying wire): 35
(粒子的半径, Particle's radius): 0
(等离子态, Plasma State): 2
(天然磁瓶, Natural magnetic bottle): 1
(磁约束现象, Magnetic confinement phenomenon): 1
(髙空核爆炸实验, High-altitude nuclear explosion experiments): 1
(匀强磁场, Uniform magnetic field): 58
(磁聚焦原理, Magnetic Focusing Principle): 0
(地球磁场, Earth's magnetic field): 13
(闭合环行结构, Closed Loop Structure): 1
(分量, Component): 96
(粒子的速率, Particle's velocity): 3
(托卡马克, Tokamak): 1
(核物理实验, Nuclear physics experiment): 2
(真空室, Vacuum Chamber): 6
(仿星器, Stellarator): 1
(内层, Inner layer): 8
(质谱仪, Mass spectrometer): 2
(洛伦兹力公式, Lorentz force formula): 3
(磁感应强度, Magnetic induction): 258
(磁约束效应, Magnetic Confinement Effect): 1
(受控热核反应, Controlled Thermonuclear Reaction): 1
(磁场, Magnetic field): 738
(磁镜效应, Magnetic Mirror Effect): 0
(人工辐射带, Artificial radiation belts): 1
(正电子, Positron): 8
(粒子的速度, Particle's velocity): 5
(平行, Parallel): 251
(带电粒子, Charged Particle): 59
(地轴对称, Axial symmetry): 1
(速度, Velocity): 1354
(磁感应强度, Magnetic Induction): 258
(螺距, Pitch): 2
(质量, Mass): 641
(电流元, Current element): 80
(电荷, Charge): 721
(粒子的周期, Particle's period): 0
(高频电场, High-frequency Electric Field): 1
(洛伦兹力, Lorentz Force): 36
(外层, Outer layer): 10
(速度选择器, Velocity selector): 1
(洛伦兹力, Lorentz force): 36
(安培力, Ampere force): 61
(夹角, Angle): 111
(运动速度, Velocity): 51
(狭义相对论, Special Theory of Relativity): 60
(圆周运动, Circular motion): 89
(粒子加速器, Particle accelerator): 1
(加速带电粒子的回旋加速器, Cyclotron for accelerating charged particles): 1
(磁场中的粒子偏转方向, Particle deflection direction in a magnetic field): 0
(垂直, Perpendicular): 360
(带电粒子的荷质比, Charge-to-mass ratio of charged particles): 1
