(哑铃, dumbbell)
(转台, turntable)
(鱼雷, Torpedo)
(飞轮, flywheel)
(推力, Thrust)
(卫星, Satellite)
(进动, precession)
(常平架陀螺仪, Gimbal Gyroscope)
(定向特性, directional characteristics)
(导弹, Missile)
(杠杆陀螺仪, lever gyroscope)
(陀螺仪, gyroscope)
(角动量守恒定律, Law of Conservation of Angular Momentum)
(旋翼, Rotor)
(个人, individual)
(合外力矩, net external torque)
(外力矩, external torque)
(飞机自动驾驶仪, Aircraft Autopilot)
(陀螺仪, Gyroscope)
(自转轴, axis of self-rotation)
(直升机螺旋桨, Helicopter Rotor)
(宇航员, astronaut)
(转轴, axis of rotation)
(导航, Navigation)
(运动, motion)
(悬立, suspended)
(重力, Gravity)
(进动效应, precession effect)
(尾桨, Tail Rotor)
(升力, Lift)
(转动角速度, angular velocity of rotation)
(失重状态, weightless state)
(舱壁, cabin wall)
(火箭, Rocket)
(雷身, Torpedo Body)
(转动惯量, moment of inertia)
