(透镜物像公式, Lens Formula)
(分界面, Interface)
(光的折射, Refraction of light)
(光密介质, Optically dense medium)
(海市蜃楼, Mirage)
(光的反射定律, Law of Reflection)
(频率, Frequency)
(反射线, Reflected ray)
(光的反射和折射定律, Laws of reflection and refraction of light)
(速率, Speed)
(光疏介质, Optically rare medium)
(光疏介质, Rare medium)
(反射镜, Reflecting mirror)
(光路图, Ray diagram)
(入射面, Incident plane)
(折射线, Refracted ray)
(入射线, Incident ray)
(光的反射, Reflection of light)
(入射角, Incident angle)
(全身像, Full-body Image)
(法线, Normal)
(观察者, Observer)
(折射率, Refractive Index)
(反射角, Reflected angle)
(折射定律, Law of Refraction)
(光的折射定律, Law of Refraction)
(物体, Object)
(折射率, Refractive index)
(折射角, Refracted angle)
(光密介质, Dense medium)
(几何光学, Geometric Optics)
(波长, Wavelength)
(镜面反射, Mirror Reflection)
