(宏观物体, Macroscopic Object)
(摩擦转动, Frictionless rotation)
(内力, Internal force)
(地面, Ground)
(转动惯量, Moment of inertia)
(角速度, Angular Velocity)
(长度, Length)
(角坐标, Angular coordinates)
(高台跳水, Platform Diving)
(作用力, Force)
(转动惯量可变的非刚体, Non-rigid Body with Variable Moment of Inertia)
(重力势能, Gravitational potential energy)
(角速度, Angular velocity)
(均质细棒, Homogeneous Thin Rod)
(动量定理, Law of conservation of momentum)
(角动量守恒定律, Law of Conservation of Angular Momentum)
(轴承对转台的支持力, Support force of the bearing on the turntable)
(系统角动量守恒, Conservation of angular momentum of the system)
(冰上芭蕾, Ice Ballet)
(跳水, Diving)
(质心轴, Axis through the Center of Mass)
(外力, External force)
(转动定律, Law of rotational motion)
(惯性系, Inertial frame of reference)
(子弹, Bullet)
(翻转, Flipping)
(非刚体, Non-rigid Body)
(合外力矩为零, Net External Torque is Zero)
(水平轴, Horizontal axis)
(力, Force)
(解取人和转台作为系统, The person and the turntable are taken as a system)
(转台, Turntable)
(角动量定理式, Angular Momentum Theorem)
(合外力的冲量为零, Net External Impulse is Zero)
(刚体, Rigid Body)
(角动量定理, Angular momentum theorem)
(转动惯量, Moment of Inertia)
(半径, Radius)
(旋转角速度, Angular Velocity)
(非弹性碰撞, Inelastic collision)
(动能定理, Kinetic energy theorem)
(转动动能, Rotational kinetic energy)
(总伸长量, Total elongation)
(角加速度, Angular acceleration)
(角动量, Angular momentum)
(均质细杆, Homogeneous thin rod)
(定轴转动, Fixed-axis Rotation)
(角动量守恒定律, Law of conservation of angular momentum)
(质点的运动规律, Motion laws of particles)
(刚体的定轴转动规律, Laws of rotational motion of rigid bodies)
(力的功, Work done by force)
(动能, Kinetic energy)
(速度, Velocity)
(动量定理, Momentum Theorem)
(重力, Gravity)
(光滑竖直轴, Smooth Vertical Axis)
(水平轴, Horizontal Axis)
(质量, Mass)
(内力, Internal Force)
(力矩, Torque)
(劲度系数, Spring constant)
(质点, Particle)
(微观粒子的运动, Motion of Microscopic Particles)
(机械能守恒, Law of conservation of mechanical energy)
(刚体力学, Rigid body mechanics)
(体操表演, Gymnastics Performance)
(花样滑冰, Figure Skating)
(加速度, Acceleration)
(动量, Momentum)
(力矩的功, Work done by torque)
(合外力矩为零, Net external torque is zero)
(弹簧的伸长量, Extension of the spring)
(质点力学, Particle mechanics)
(天体运动, Celestial Motion)
