(振幅, Amplitude)
(极大值, Maximum value)
(频率, Frequency)
(同相, In phase)
(圆心角, Central angle)
(位移, Displacement)
(振动方程, Vibration equation)
(谐振动, Harmonic vibration)
(初相位, Initial phase)
(振动方程, Equation of motion)
(同频率谐振动, Resonance with the same frequency)
(解析法, Analytical method)
(重要应用, Important application)
(多边形法则, Polygon rule)
(旋转矢量法, Rotational vector method)
(外接圆, Circumscribed circle)
(光的衍射, Diffraction of light)
(运动学方程, Kinematic equation)
(矢量合成三角形法则, Vector composition triangle rule)
(极小值, Minimum value)
(合成振动, Composite vibration)
(合成运动, Composite motion)
(初相, Initial phase)
(矢量多边形法则, Vector polygon rule)
(平衡状态, Equilibrium state)
(反相, Out of phase)
(谐振动, Harmonic oscillation)
(初相, Phase)
