(匀速直线运动, Uniform linear motion)
(动量守恒定律, Law of conservation of momentum)
(天花板, Ceiling)
(计算, Calculation)
(元位移, Element displacement)
(微积分, Calculus)
(合力, Resultant Force)
(作功, Work)
(静止, Rest)
(功的定义, Definition of work)
(总功, Total Work)
(基本定义, Basic definition)
(功, Work)
(位移, Displacement)
(合力为零, Net force is zero)
(牛顿第二定律, Newton's second law of motion)
(标量, Scalar)
(参考系的选择, Choice of reference frame)
(直角坐标系, Cartesian Coordinate System)
(基本概念, Basic concepts)
(机械运动能量, Mechanical kinetic energy)
(基本思想, Basic idea)
(动能定理, Law of kinetic energy)
(运动状态的变化, Change in motion state)
(牛顿运动定律, Newton's laws of motion)
(恒力, Constant Force)
(机械能守恒定律, Law of conservation of mechanical energy)
(物体的运动过程, Object's motion process)
(惯性系和非惯性系, Inertial and non-inertial reference frames)
(质点静止, Stationary particle)
(力学相对性原理, Principle of Relativity in Mechanics)
(功率, Power)
(力, Force)
(变力, Variable Force)
(切削力, Cutting force)
(负荷力, Load force)
(动量定理, Law of momentum)
(力的大小, Magnitude of force)
(曲线运动, Curvilinear Motion)
(惯性系, Inertial reference frame)
(能量变化, Change in energy)
(元功, Elemental Work)
(坐标, Coordinate)
(路径, Path)
(功与能, Work and energy)
(速度, Velocity)
(重力, Gravity)
(柔绳, Flexible rope)
(运行速度, Operating speed)
(质量, Mass)
(质点, Particle)
(直线运动, Linear motion)
(物理量, Physical quantity)
(功的定义, Definition of Work)
(普适定义, General Definition)
(变曲线积分, Curve Integral)
(元位移, Elemental Displacement)
(牵引力, Traction force)
(牛顿第三定律, Newton's third law of motion)
(力的作用, Action of force)
(夹角, Angle)
(加速度, Acceleration)
(时间, Time)
(坐标, Coordinates)
(水滴落下, Dropping of water droplets)
(基本方法, Basic method)
