(干涉级, interference order): 1
(等厚条纹, equidistant fringes): 2
(空气薄膜, air film): 1
(入射角, incident angle): 1
(镉红线, cadmium red line): 1
(物质折射率的测量, measurement of refractive index of material): 0
(干涉, interference): 49
(光路长度变化, Change in optical path length): 1
(空气劈尖, air wedge): 1
(分光板, beam splitter): 4
(亮纹, bright fringe): 2
(平面反射镜, plane mirror): 1
(视场, field of view): 8
(待测物质, test substance): 2
(时间相干性, temporal coherence): 1
(干涉条纹, interference fringes): 16
(补偿板, compensating plate): 2
(微小距离, small distance): 2
(波长, wavelength): 21
(长度测量, length measurement): 0
(波长差, Wavelength difference): 4
(动臂移动, Arm movement): 2
(折射率, refractive index): 7
(观测屏幕, observation screen): 1
(单色性, Monochromaticity): 1
(单色平行光, monochromatic parallel light): 1
(干涉条纹, Interference fringes): 16
(平面玻璃板, plane glass plate): 1
(光的干涉原理, principle of interference of light): 1
(暗纹, dark fringe): 4
(精度, precision): 2
(光速, speed of light): 1
(相干光, coherent light): 7
(等倾干涉圆纹, Equal inclination interference fringes): 1
(干涉仪, interferometer): 20
(平均波长, Average wavelength): 2
(光程差, optical path difference): 11
(迈克耳孙干涉仪, Michelson interferometer): 10
(亮点, bright spot): 1
(标准米尺, standard meter): 1
(诺贝尔物理学奖, Nobel Prize in Physics): 1
(迈克尔孙干涉仪, Michelson interferometer): 1
(焦平面, focal plane): 2
(相干光, Coherent light): 7
(基本原理, basic principle): 1
(微小物体尺寸, Size of small objects): 0
(波长差, wavelength difference): 4
(以太风, ether wind): 1
(薄膜的厚度, thickness of thin film): 1
(厚度, thickness): 5
(钠光, Sodium light): 9
(双线波长, Doublet wavelength): 3
(明圆纹, Bright fringes): 0
(光的波长, wavelength of light): 3
(光电自动计数器, photoelectric automatic counter): 1
(入射光波长, Incident light wavelength): 1
(光波, light wave): 15
(暗圆纹, Dark fringes): 0
(透明介质折射率, Refractive index of transparent medium): 0
(透镜, lens): 2
(复色光, polychromatic light): 1
(光程差, Optical path difference): 11
(光谱的精细结构, fine structure of spectrum): 2
