(波函数, Wave function)
(能级宽度, energy level width)
(德布罗意波长, De Broglie wavelength)
(电子速率, electron velocity)
(矩阵力学, Matrix mechanics)
(坐标和动量的不确定关系, Uncertainty relation between position and momentum)
(德布罗意关系式, de Broglie relation)
(激发态, Excited state)
(能级稳定性, level stability)
(经典力学规律, Classical mechanics laws)
(能量, Energy)
(辐射光的波长差, Wavelength difference of emitted light)
(电视显像管, television cathode ray tube)
(德布罗意假设, De Broglie hypothesis)
(光子能量, Photon energy)
(平均寿命, average lifetime)
(波长, wavelength)
(光谱线, spectral line)
(质子, Proton)
(经典力学中的粒子, Particles in classical mechanics)
(玻尔理论, Bohr theory)
(电子位置, electron position)
(横向动量, Transverse momentum)
(受激态能级宽度, width of excited state energy levels)
(波动性, Wave-particle duality)
(原子中的电子, Electrons in atoms)
(辐射光子能量不确定度, Uncertainty of photon energy)
(照相底片, Photographic film)
(横向速度, Lateral velocity)
(波数, Wave number)
(加速电压, Accelerating voltage)
(原子系统, atomic system)
(电子, Electron)
(能量和时间不确定关系, uncertainty relation between energy and time)
(参, 参)
(速度的不确定量, uncertainty of velocity)
(经典力学, classical mechanics)
(位置, Position)
(角动量, Angular momentum)
(光子动量, photon momentum)
(光子位置坐标, photon position coordinates)
(物理学, Physics)
(不确定关系, Uncertainty principle)
(一维定态薛定谔方程, One-dimensional stationary Schrödinger equation)
(氢原子, Hydrogen atom)
(动能, Kinetic energy)
(枪口直径, Muzzle diameter)
(电子轨道, electron orbit)
(电子单缝衍射实验, Electron single-slit diffraction experiment)
(经典力学, Classical mechanics)
(经典粒子, classical particle)
(电子横向速度, electron transverse velocity)
(不确定量, Uncertainty)
(平寧, 平寧)
(微观粒子, Microscopic particle)
(子弹质量, Bullet mass)
(轨道, Orbit)
(质点, Particle)
(受激态, Stimulated state)
(谐振子, Harmonic oscillator)
(量子力学, Quantum mechanics)
(粒子波动性, Particle wave nature)
(微观世界, Microscopic world)
(基态, Ground state)
(动量, Momentum)
(电子速度的不确定量, Uncertainty in electron velocity)
(不确定度, uncertainty)
(海森伯, Heisenberg)
(波粒二象性, Wave-particle duality)
(电子流强度, Electron intensity)
