(光的顺序, order of light): 1
(入射角, incident angle): 3
(金刚石, diamond): 1
(声波, sound wave): 3
(反射定律, Law of reflection): 1
(介质, medium): 27
(光速, Speed of light): 1
(反射, reflection): 15
(反射角, Reflection angle): 3
(轨迹, Trajectory): 1
(光源, light source): 1
(反射角, reflection angle): 3
(平面反射镜, Plane mirror): 1
(光在各向同性, 均匀介质中沿直线传播, Light propagates in a straight line in isotropic, homogeneous media): 1
(折射率, refractive index): 10
(色散现象, dispersion phenomenon): 2
(圆的直径, diameter of a circle): 1
(球面界面, spherical interface): 1
(玻璃, glass): 3
(界面法线, interface normal): 1
(折射定律, Law of refraction): 2
(费马原理, Fermat's principle): 4
(全反射, Total internal reflection): 5
(入射角, Incident angle): 3
(临界角, critical angle): 1
(全反射, total internal reflection): 5
(光程, Optical path): 5
(折射角, Refraction angle): 2
(光能, light energy): 1
(介质, Medium): 27
(介质层, medium layer): 1
(折射率, Refractive index): 10
(水槽, water tank): 1
(水面, water surface): 1
