(空间站, space station)
(光速不变原理, speed of light invariance principle)
(狭义相对论, special relativity)
(相对论速度变换公式, Relativistic velocity transformation formula)
(洛伦兹变换, Lorentz transformation)
(物体运动速度, object velocity)
(速度变换定理, velocity transformation theorem)
(伽利略变换, Galilean transformation)
(飞船, spaceship)
(伽利略速度变换定理, Galilean velocity transformation theorem)
(逆变换, inverse transformation)
(观测者, observer)
(光信号, light signal)
(变换关系, transformation relationship)
(相对论速度变换定理, Relativistic velocity transformation theorem)
(速度定义, velocity definition)
(极限, limit)
(速度分量, velocity components)
(伽利略速度变换公式, Galilean velocity transformation formula)
(时空坐标, spacetime coordinates)
(光速不变原理, Principle of the constancy of the speed of light)
