(X射线, X-ray)
(电磁场, Electromagnetic field)
(可见光谱, Visible spectrum)
(红外防伪, Infrared anti-counterfeiting)
(衍射, Diffraction)
(频率, Frequency)
(紫外线, Ultraviolet)
(红外通信, Infrared communication)
(波长, Wavelength)
(实验证, Experimental verification)
(1射线, Gamma ray)
(红外报警, Infrared alarm)
(电磁波谱, Electromagnetic spectrum)
(荧光效应, Fluorescence effect)
(折射, Refraction)
(传播, Propagation)
(微波, Microwave)
(红外线, Infrared radiation)
(可见光, Visible light)
(磁场, Magnetic field)
(可见光七种颜色的波长和频率, Wavelength and frequency of the seven colors of visible light)
(偏振, Polarization)
(电磁波, Electromagnetic wave)
(红外线, Infrared)
(文物鉴定, Cultural relic identification)
(人眼对不同波长的光的相对灵敏度, Relative sensitivity of the human eye to different wavelengths of light)
(光, Light)
(迈克斯韦电磁场理论, Maxwell's electromagnetic field theory)
(化学效应, Chemical effect)
(颜色, Color)
(电场, Electric field)
(赫兹, Hertz)
(紫外线, Ultraviolet radiation)
(红外热像, Infrared thermal imaging)
(无线电波, Radio wave)
